StudentID,StartDay,FinishDay,DaysToFinish
0,0,164,164
1,0,170,170
2,0,170,170
3,0,170,170
4,0,176,176
5,0,177,177
6,0,177,177
7,0,183,183
8,0,189,189
9,0,189,189
10,0,190,190
11,0,190,190
12,0,190,190
13,0,191,191
14,0,191,191
15,0,194,194
16,0,194,194
17,0,194,194
18,0,194,194
19,0,195,195
20,0,195,195
21,0,198,198
22,0,198,198
23,0,199,199
24,0,202,202
25,0,202,202
26,0,202,202
27,0,202,202
28,0,202,202
29,0,202,202
30,0,205,205
31,0,207,207
32,0,207,207
33,0,207,207
34,0,207,207
35,0,207,207
36,0,207,207
37,0,207,207
38,0,207,207
39,0,207,207
40,0,208,208
41,0,212,212
42,0,212,212
43,0,212,212
44,0,212,212
45,0,215,215
46,0,215,215
47,0,215,215
48,0,216,216
49,0,216,216
50,0,216,216
51,0,216,216
52,0,216,216
53,0,219,219
54,0,219,219
55,0,219,219
56,0,221,221
57,0,221,221
58,0,222,222
59,0,222,222
60,0,222,222
61,0,224,224
62,0,226,226
63,0,226,226
64,0,228,228
65,0,228,228
66,0,229,229
67,0,229,229
68,0,229,229
69,0,229,229
70,0,229,229
71,0,230,230
72,0,231,231
73,0,231,231
74,0,233,233
75,0,236,236
76,0,236,236
77,0,236,236
78,0,236,236
79,0,236,236
80,14,246,232
81,14,247,233
82,14,247,233
83,14,247,233
84,14,247,233
85,14,247,233
86,28,259,231
87,28,259,231
88,28,260,232
89,28,260,232
90,28,262,234
91,28,262,234
92,42,271,229
93,42,271,229
94,42,271,229
95,42,271,229
96,42,271,229
97,42,271,229
98,56,281,225
99,56,283,227
100,56,283,227
101,56,283,227
102,56,285,229
103,56,285,229
104,70,293,223
105,70,293,223
106,70,295,225
107,70,295,225
108,70,295,225
109,70,295,225
110,84,304,220
111,84,304,220
112,84,304,220
113,84,304,220
114,84,304,220
115,84,304,220
116,98,312,214
117,98,312,214
118,98,313,215
119,98,313,215
120,98,313,215
121,98,313,215
122,112,321,209
123,112,323,211
124,112,325,213
125,112,325,213
126,112,325,213
127,112,325,213
128,126,333,207
129,126,333,207
130,126,333,207
131,126,333,207
132,126,335,209
133,126,335,209
134,140,342,202
135,140,342,202
136,140,342,202
137,140,346,206
138,140,348,208
139,140,348,208
140,154,354,200
141,154,354,200
142,154,354,200
143,154,357,203
144,154,357,203
145,154,357,203
146,168,362,194
147,168,362,194
148,168,362,194
149,168,364,196
150,168,364,196
151,168,364,196
